cid;selite
308;H12.7 Invalidin ajoneuvo
309;H12.8 Moottoripyörä
310;H12.9 Mopo
311;H12.10 Polkupyörä
312;H12.11 Moottorikelkka
313;H12.12 Traktori
314;H12.13 Vähäpäästöinen ajoneuvo
315;H13.1 Pysäköintitapa
316;H13.2 Pysäköintitapa
317;H14 Kielto ryhmän A vaarallisten aineiden kuljetukselle
318;H15 Läpiajokielto ryhmän B vaarallisten aineiden kuljetukselle
319;H16 Tunneliluokka
320;H17.1 Voimassaoloaika arkisin
321;H17.2 Voimassaoloaika lauantaisin
322;H17.3 Voimassaoloaika sunnuntaisin ja pyhinä
323;H18 Aikarajoitus
324;H19.1 Pysäköintiajan alkamisen osoittamisvelvollisuus
325;H19.2 Pysäköintiajan alkamisen osoittamisvelvollisuus
326;H20 Maksullinen pysäköinti
327;H21 Latauspaikka
328;H22.1 Etuajo-oikeutetun liikenteen suunta
329;H22.2 Etuajo-oikeutetun liikenteen suunta
330;H23.1 Kaksisuuntainen pyörätie
331;H23.2 Kaksisuuntainen pyörätie
332;H24 Tekstillinen lisäkilpi
333;H25 Huoltoajo sallittu
334;H26 Hätäpuhelin ja sammutin
335;I1 Sulkupuomi
336;I2.1 Sulkuaita
337;I3.1 Sulkupylväs
338;I3.2 Sulkupylväs
339;I3.3 Sulkupylväs
340;I4 Sulkukartio
341;I5 Taustamerkki
342;I6 Kaarteen suuntamerkki
343;I7.1 Reunamerkki
344;I7.2 Reunamerkki
345;I8 Korkeusmerkki
346;I9 Alikulun korkeusmitta
347;I10.1 Liikennemerkkipylvään tehostamismerkki
348;I10.2 Liikennemerkkipylvään tehostamismerkki
349;I11 Erkanemismerkki
350;I12.1 Reunapaalu
351;I12.2 Reunapaalu
352;I13 Siirtokehotus
353;I14 Paikannusmerkki
354;I15 Automaattinen liikennevalvonta
355;I16 Tekninen valvonta
356;I17.1 Poronhoitoalue
357;I17.2 Poronhoitoalue
358;I18 Yleinen nopeusrajoitus
359;I19 Valtion raja
