id;selite
771;Oxalis fontana 'Rufa'
772;Pachysandra terminalis
773;Paeonia Lactiflora-hybr.
774;Paeonia officinalis
775;Paeonia
776;Papaver croceum
777;Papaver pseudo-orientale 'Allergo'
778;Papaver pseudo-orientale 'Border Beauty'
779;Papaver pseudo-orientale 'Peter Pan'
780;Papaver pseudo-orientale
781;Parthenocissus inserta
782;Parthenocissus quinquefolia 'Engelmannii
783;Penstemon barbatus
784;Penstemon hirsutus
785;Petasites hybridus
786;Petasites japonicus
787;Petasites
788;Petroselinum crispum
789;Phalaris arundinacea 'Picta'
790;Phalaris arundinacea
791;Philadelphus coronarius
792;Philadelphus inodorus var. grandiflorus
793;Philadelphus lewisii var. gordonianus
794;Philadelphus lewisii var. lew.'Waterton'
795;Philadelphus Lewisii-hybr. 'Tähtisilmä'
796;Philadelphus pubescens
797;Philadelphus x lemoinei
798;Philadelphus x virginalis
799;Philadelphus
800;Phlox carolina
801;Phlox paniculata 'Aida'
802;Phlox paniculata 'Amethyst'
803;Phlox paniculata 'Bor der Gem'
804;Phlox paniculata 'Jules Sandeau'
805;Phlox paniculata 'Kirchenfürst'
806;Phlox paniculata 'Lassberg'
807;Phlox paniculata 'Mia Ruys'
808;Phlox paniculata 'Orange Perfection'
809;Phlox paniculata 'Pax'
810;Phlox paniculata 'Rheinländer'
811;Phlox paniculata 'Spitfire'
812;Phlox paniculata 'Starfire'
813;Phlox paniculata 'Wilhelm Kesselring'
814;Phlox paniculata
815;Phlox stolonifera
816;Phlox subulata 'Atropurpurea'
817;Phlox subulata 'Betty'
818;Phlox subulata 'Mai'
819;Phlox subulata 'Moerheimii'
820;Phlox subulata 'Rosea'
821;Phlox subulata 'Temiscaming'
822;Phlox subulata
823;Phragmites australis
824;Physalis alkekengi
825;Physocarpus opulifolius 'Diablo'
826;Physocarpus opulifolius
827;Physocarpus
828;Picea abies 'Echiniformis'
829;Picea abies 'Globosa'
830;Picea abies 'Kartio'
831;Picea abies 'Nana'
832;Picea abies 'Nidiformis'
833;Picea abies 'Tabuliformis'
834;Picea glauca 'Conica'
835;Pieris floribunda
836;Pimpinella anisum
837;Pinus mugo 'Gnom'
838;Pinus mugo 'Pumilio'
839;Pinus mugo ssp. mugo
840;Pinus pumila
841;Pinus pumila'Glauca'
842;Pinus sylvestris 'Nana'
843;Platycodon grandiflorus
844;Polemonium caeruleum
845;Polygonatum multiflorum
846;Polygonatum odoratum
847;Polygonatum x hybridum
848;Polypodium vulgare
849;Portulaca oleracea ssp. sativa
850;Potentilla anserina
851;Potentilla atrosanguinea
852;Potentilla aurea
853;Potentilla nepalensis
854;Potentilla tridentata 'Nuuk'
855;Potentilla
856;Primula Auricula -hybr.
857;Primula denticulata
858;Primula florindae
859;Primula rosea 'Gigas'
860;Primula vulgaris
861;Prunella grandiflora
862;Prunus cerasus
863;Prunus padus
864;Prunus pumila var. depressa
865;Prunus sp.
866;Prunus tenella
867;Prunus virginiana 'Shubert'
868;Pteridium aquilinum
869;Pulmonaria saccharata
870;Pulmonaria
871;Pulsatilla vulgaris
872;Puschkinia scilloides var. libanotica
873;Ranunculus ficaria
874;Rhamnus cathartica
875;Rheum palmatum subsp. tanguticum
876;Rhodiola kirilowii
877;Rhodiola rosea
878;Rhododendron canadense
879;Rhododendron catawbiense 'Grandiflorum'
880;Rhododendron 'Cunninghams's White'
881;Rhododendron ferrugineum
882;Rhododendron Forrestii-hybr. 'Elviira'
883;Rhododendron Ghent-Ryhmä 'Aamurusko'
884;Rhododendron japonicum
885;Rhododendron 'Kullervo'
886;Rhododendron Lights-Ryhmä 'Orchid Lights'
887;Rhododendron luteum
888;Rhododendron 'Nova Zembla'
889;Rhododendron 'P.M.A. Tigerstedt'
890;Rhododendron 'Pohjanatsalea'
891;Rhododendron 'Pohjolan Tytär'
892;Rhododendron smirnowii 'Hellikki'
893;Rhododendron 'St.Micchel'
894;Rhododendron Tigerst.-hybr. 'Helsinki Un
895;Rhododendron Tigerstedii-hybr. 'Haaga'
896;Rhododendron x fraseri
897;Rhododendron
898;Rhus aromatica 'Gro-Low'
899;Ribes alpinum 'Pumilum'
900;Ribes alpinum
901;Ribes aureum
902;Ribes glandulosum
903;Ribes 'Hinnonmäen Keltainen'
904;Ribes 'Jonkheer van Tets'
905;Ribes 'Lepaan Punainen'
906;Ribes nigrum 'Melalahti'
907;Ribes nigrum 'Mortti'
908;Ribes nigrum 'Vertti'
909;Ribes nigrum 'Öjebyn'
910;Ribes nigrum
911;Ribes 'Punainen Hollantilainen'
912;Ribes 'Rondom'
913;Ribes 'Rotes Wunder Katri'
914;Ribes rubrum 'Aili'
915;Ribes rubrum 'Katri'
916;Ribes rubrum
917;Ribes Rubrum-ryhmä
918;Ribes sanguineum
919;Ribes uva-crispa 'Hinnonmäen keltainen'
920;Ribes uva-crispa
921;Ribes 'Valkea Jüterborger'
922;Ribes 'Valkoinen Hollantilainen'
923;Ribes 'Valkoinen suomalainen'
924;Ribes
925;Rodgersia aesculifolia
926;Rodgersia pinnata
